ID;Fecha;PrecioPromedio
245;11/02/2023;1.76
246;10/02/2023;1.77
247;9/02/2023;1.78
248;8/02/2023;1.78
249;7/02/2023;1.78
250;6/02/2023;1.8
251;4/02/2023;1.81
252;3/02/2023;1.8
253;2/02/2023;1.81
254;1/02/2023;1.81
255;31/01/2023;1.81
256;30/01/2023;1.82
257;28/01/2023;1.82
258;27/01/2023;1.82
259;26/01/2023;1.82
260;25/01/2023;1.83
261;24/01/2023;1.85
262;23/01/2023;1.86
263;21/01/2023;1.87
264;20/01/2023;1.87
265;19/01/2023;1.86
266;18/01/2023;1.86
267;17/01/2023;1.86
268;16/01/2023;1.86
269;14/01/2023;1.86
270;13/01/2023;1.86
271;12/01/2023;1.86
272;11/01/2023;1.86
273;10/01/2023;1.86
274;9/01/2023;1.86
275;8/01/2023;1.87
276;7/01/2023;1.87
277;6/01/2023;1.87
278;5/01/2023;1.87
279;4/01/2023;1.87
280;3/01/2023;1.87
281;2/01/2023;1.86
282;31/12/2022;1.86
283;30/12/2022;1.85
284;29/12/2022;1.86
285;28/12/2022;1.86
286;27/12/2022;1.86
287;26/12/2022;1.86
288;24/12/2022;1.87
289;23/12/2022;1.86
290;22/12/2022;1.86
291;21/12/2022;1.86
292;20/12/2022;1.87
293;19/12/2022;1.87
294;17/12/2022;1.86
295;16/12/2022;1.87
296;15/12/2022;1.87
297;14/12/2022;1.87
298;13/12/2022;1.86
299;12/12/2022;1.87
300;10/12/2022;1.86
301;9/12/2022;1.87
302;8/12/2022;1.87
303;7/12/2022;1.88
304;6/12/2022;1.88
305;5/12/2022;1.88
306;3/12/2022;1.88
307;2/12/2022;1.88
308;1/12/2022;1.88
309;30/11/2022;1.88
310;29/11/2022;1.89
311;28/11/2022;1.89
312;26/11/2022;1.89
313;25/11/2022;1.89
314;24/11/2022;1.89
315;23/11/2022;1.88
316;22/11/2022;1.88
317;21/11/2022;1.87
318;19/11/2022;1.87
319;18/11/2022;1.88
320;17/11/2022;1.88
321;16/11/2022;1.86
322;15/11/2022;1.87
323;14/11/2022;1.82
324;12/11/2022;1.82
325;11/11/2022;1.82
326;10/11/2022;1.82
327;9/11/2022;1.82
328;8/11/2022;1.84
329;7/11/2022;1.82
330;5/11/2022;1.82
331;4/11/2022;1.82
332;3/11/2022;1.82
333;2/11/2022;1.82
334;31/10/2022;1.82
335;29/10/2022;1.82
